1787023534,0, 24755, 0, 0, 49.49, 1380, 877, 49, Not Active
1787023535,0, 24951, 100, 49, 250.17, 1357, 877, 54, Active
1787023536,0, 24951, 99, 48, 253.75, 1365, 877, 56, Active
1787023537,0, 24951, 100, 49, 51.17, 1380, 877, 55, Not Active
1787023538,0, 25143, 100, 48, 245.33, 1365, 877, 58, Active
1787023539,0, 25143, 100, 47, 232.05, 1380, 877, 59, Not Active
1787023541,0, 25143, 100, 47, 235.66, 1372, 877, 59, Active
1787023542,0, 25143, 99, 45, 236.25, 1380, 877, 60, Not Active
1787023543,0, 25143, 100, 45, 234.79, 1365, 877, 61, Not Active
1787023544,0, 25143, 99, 44, 243.33, 1380, 877, 61, Not Active
1787023545,0, 25143, 100, 45, 253.38, 1365, 877, 61, Not Active
1787023546,0, 25143, 74, 29, 235.80, 1380, 877, 61, Not Active
1787023547,0, 25143, 100, 44, 218.46, 1365, 877, 62, Not Active
1787023548,0, 25143, 100, 44, 234.82, 1380, 877, 63, Not Active
1787023549,0, 25143, 100, 44, 244.07, 1357, 877, 63, Not Active
1787023550,0, 25143, 100, 43, 239.01, 1372, 877, 63, Not Active
1787023551,0, 25143, 99, 41, 251.25, 1365, 877, 64, Active
1787023552,0, 25143, 100, 44, 226.65, 1372, 877, 64, Active
1787023553,0, 25143, 100, 42, 217.67, 1372, 877, 64, Active
1787023554,0, 25143, 100, 41, 251.29, 1380, 877, 65, Not Active
1787023556,0, 25143, 100, 43, 191.93, 1372, 877, 65, Active
1787023557,0, 25143, 100, 43, 212.54, 1365, 877, 66, Not Active
1787023558,0, 25143, 100, 42, 196.47, 1365, 877, 66, Active
1787023559,0, 25143, 100, 40, 185.24, 1365, 877, 66, Not Active
1787023560,0, 25143, 100, 42, 250.38, 1372, 877, 67, Not Active
1787023561,0, 25143, 99, 38, 216.57, 1372, 877, 67, Active
1787023562,0, 25143, 76, 28, 207.65, 1380, 877, 67, Not Active
1787023563,0, 25143, 100, 38, 215.07, 1357, 877, 68, Not Active
1787023564,0, 25143, 100, 40, 191.45, 1350, 877, 68, Active
1787023565,0, 25143, 100, 40, 144.93, 1380, 877, 67, Not Active
1787023566,0, 25143, 99, 38, 209.02, 1372, 877, 69, Active
1787023567,0, 25143, 100, 39, 189.11, 1350, 877, 69, Active
1787023568,0, 25143, 100, 38, 190.11, 1365, 877, 69, Not Active
1787023569,0, 25143, 100, 38, 238.83, 1357, 877, 70, Active
1787023571,0, 25143, 100, 39, 238.29, 1372, 877, 70, Active
1787023572,0, 25143, 100, 38, 214.29, 1372, 877, 70, Active
1787023573,0, 25143, 76, 18, 205.33, 1380, 877, 69, Not Active
1787023574,0, 25143, 99, 37, 194.39, 1372, 877, 71, Active
1787023575,0, 25143, 100, 38, 173.35, 1372, 877, 71, Not Active
1787023576,0, 25143, 100, 37, 188.22, 1357, 877, 72, Not Active
1787023577,0, 25143, 100, 37, 220.17, 1357, 877, 71, Not Active
1787023578,0, 25143, 100, 37, 182.69, 1357, 877, 72, Not Active
1787023579,0, 25143, 100, 37, 233.98, 1372, 877, 72, Active
1787023580,0, 25143, 100, 38, 166.40, 1372, 877, 72, Not Active
1787023581,0, 25143, 100, 38, 168.83, 1372, 877, 73, Not Active
1787023582,0, 25143, 100, 38, 173.12, 1372, 877, 73, Active
1787023583,0, 25143, 99, 35, 212.89, 1372, 877, 73, Active
1787023584,0, 25143, 64, 15, 127.13, 1380, 877, 72, Not Active
1787023586,0, 25143, 100, 38, 235.13, 1380, 877, 73, Not Active
1787023587,0, 25143, 99, 33, 171.79, 1380, 877, 74, Not Active
1787023588,0, 25143, 99, 36, 230.11, 1372, 877, 74, Active
1787023589,0, 25143, 71, 22, 256.70, 1380, 877, 73, Not Active
1787023590,0, 25143, 96, 35, 204.29, 1380, 877, 74, Not Active
1787023591,0, 25143, 98, 34, 194.65, 1372, 877, 74, Not Active
1787023592,0, 25143, 100, 38, 179.35, 1380, 877, 75, Not Active
1787023593,0, 25143, 64, 14, 204.78, 1380, 877, 73, Not Active
1787023594,0, 25143, 100, 36, 253.33, 1357, 877, 75, Active
1787023595,0, 25143, 100, 34, 248.22, 1372, 877, 75, Active
1787023596,0, 25143, 99, 36, 231.20, 1380, 877, 75, Not Active
1787023597,0, 25143, 44, 9, 192.87, 1380, 877, 74, Not Active
1787023598,0, 25143, 100, 33, 201.08, 1365, 877, 75, Not Active
1787023599,0, 25143, 100, 32, 235.72, 1365, 877, 76, Not Active
1787023600,0, 25143, 100, 36, 253.73, 1372, 877, 76, Active
1787023602,0, 25143, 100, 33, 203.12, 1372, 877, 76, Active
1787023603,0, 25143, 100, 36, 189.46, 1357, 877, 76, Not Active
1787023604,0, 25143, 100, 36, 164.00, 1357, 877, 77, Not Active
1787023605,0, 25143, 100, 33, 194.91, 1365, 877, 77, Not Active
1787023606,0, 25143, 100, 32, 175.46, 1350, 877, 77, Not Active
1787023607,0, 25143, 100, 33, 201.37, 1380, 877, 76, Not Active
1787023608,0, 25143, 100, 35, 185.31, 1372, 877, 77, Active
1787023609,0, 25143, 100, 36, 255.67, 1342, 877, 77, Active
1787023610,0, 25143, 100, 37, 215.30, 1372, 877, 77, Active
1787023611,0, 25143, 72, 14, 90.56, 1380, 877, 76, Not Active
1787023612,0, 25143, 100, 32, 243.44, 1380, 877, 77, Not Active
1787023613,0, 25143, 100, 36, 197.83, 1365, 877, 78, Not Active
1787023614,0, 25143, 100, 31, 173.51, 1372, 877, 78, Active
1787023616,0, 25143, 100, 35, 210.05, 1365, 877, 78, Not Active
1787023617,0, 25143, 100, 31, 243.56, 1357, 877, 77, Active
1787023618,0, 25143, 100, 35, 211.35, 1372, 877, 78, Active
1787023619,0, 25143, 100, 33, 220.91, 1342, 877, 78, Active
1787023620,0, 25143, 100, 33, 258.38, 1372, 877, 78, Not Active
1787023621,0, 25143, 78, 16, 172.44, 1380, 877, 77, Not Active
1787023622,0, 25143, 100, 33, 247.07, 1372, 877, 78, Active
1787023623,0, 25143, 100, 30, 176.44, 1357, 877, 78, Not Active
1787023624,0, 25143, 100, 31, 251.93, 1372, 877, 79, Not Active
1787023625,0, 25143, 100, 32, 149.36, 1350, 877, 79, Not Active
1787023626,0, 25143, 66, 16, 218.67, 1372, 877, 78, Active
1787023627,0, 25143, 99, 32, 190.75, 1380, 877, 78, Not Active
1787023628,0, 25143, 100, 30, 212.15, 1365, 877, 79, Not Active
1787023629,0, 25143, 100, 33, 149.46, 1372, 877, 79, Active
1787023630,0, 25143, 100, 30, 249.61, 1372, 877, 78, Not Active
1787023632,0, 25143, 100, 31, 173.03, 1372, 877, 79, Active
1787023633,0, 25143, 100, 31, 216.86, 1372, 877, 79, Not Active
1787023634,0, 25143, 99, 31, 209.99, 1372, 877, 78, Active
1787023635,0, 25143, 100, 31, 147.70, 1372, 877, 78, Not Active
1787023636,0, 25143, 100, 30, 211.99, 1372, 877, 79, Not Active
1787023637,0, 25143, 100, 34, 240.50, 1372, 877, 79, Active
1787023638,0, 25143, 100, 33, 243.84, 1372, 877, 79, Not Active
1787023639,0, 25143, 99, 30, 236.03, 1372, 877, 79, Not Active
1787023640,0, 25143, 99, 30, 180.85, 1380, 877, 79, Not Active
1787023641,0, 25143, 100, 33, 182.80, 1357, 877, 80, Not Active
1787023642,0, 25143, 100, 31, 193.97, 1365, 877, 79, Not Active
1787023643,0, 25143, 100, 32, 256.99, 1357, 877, 80, Active
1787023644,0, 25143, 99, 29, 181.48, 1380, 877, 79, Not Active
1787023646,0, 25143, 100, 29, 202.50, 1365, 877, 80, Active
1787023647,0, 25143, 100, 31, 235.69, 1372, 877, 80, Not Active
1787023648,0, 25143, 100, 32, 190.34, 1365, 877, 79, Not Active
1787023649,0, 25143, 100, 30, 150.67, 1372, 877, 80, Not Active
1787023650,0, 25143, 100, 32, 212.38, 1380, 877, 80, Not Active
1787023651,0, 25143, 100, 29, 193.16, 1357, 877, 80, Not Active
1787023652,0, 25143, 100, 31, 141.61, 1365, 877, 80, Not Active
1787023653,0, 25143, 100, 31, 236.45, 1380, 877, 79, Not Active
1787023654,0, 25143, 100, 29, 235.46, 1380, 877, 80, Not Active
1787023655,0, 25143, 100, 31, 258.67, 1372, 877, 80, Not Active
1787023656,0, 25143, 100, 31, 257.26, 1372, 877, 80, Active
1787023657,0, 25143, 100, 30, 259.84, 1380, 877, 80, Not Active
1787023658,0, 25143, 62, 12, 198.60, 1380, 877, 78, Not Active
1787023660,0, 25143, 100, 30, 237.23, 1372, 877, 80, Not Active
1787023661,0, 25143, 100, 30, 151.60, 1372, 877, 80, Not Active
1787023662,0, 25143, 100, 30, 189.66, 1357, 877, 80, Not Active
1787023663,0, 25143, 100, 31, 235.71, 1357, 877, 81, Active
1787023664,0, 25143, 100, 30, 89.49, 1372, 877, 80, Active
1787023665,0, 25143, 100, 30, 239.38, 1372, 877, 80, Active
1787023666,0, 25143, 100, 29, 185.31, 1365, 877, 81, Not Active
1787023667,0, 25143, 99, 27, 262.39, 1380, 877, 80, Not Active
1787023668,0, 25143, 100, 31, 215.83, 1372, 877, 81, Not Active
1787023669,0, 25143, 100, 30, 192.77, 1357, 877, 81, Not Active
1787023670,0, 25143, 100, 30, 218.54, 1372, 877, 79, Active
1787023671,0, 25143, 100, 31, 199.32, 1365, 877, 81, Not Active
1787023672,0, 25143, 100, 30, 134.56, 1365, 877, 80, Not Active
1787023673,0, 25143, 100, 30, 254.61, 1372, 877, 80, Not Active
1787023675,0, 25143, 100, 30, 205.52, 1372, 877, 81, Not Active
1787023676,0, 25143, 100, 29, 145.95, 1372, 877, 81, Not Active
1787023677,0, 25143, 100, 30, 254.85, 1380, 877, 81, Not Active
1787023678,0, 25143, 99, 28, 232.33, 1365, 877, 81, Active
1787023679,0, 25143, 100, 30, 188.59, 1372, 877, 81, Active
1787023680,0, 25143, 100, 31, 162.44, 1372, 877, 81, Not Active
1787023681,0, 25143, 100, 29, 163.76, 1372, 877, 81, Active
1787023682,0, 25143, 77, 13, 148.36, 1380, 877, 79, Not Active
1787023683,0, 25143, 100, 30, 142.54, 1372, 877, 81, Active
1787023684,0, 25143, 100, 30, 138.02, 1365, 877, 81, Not Active
1787023685,0, 25143, 99, 29, 188.45, 1372, 877, 81, Not Active
1787023686,0, 25143, 100, 28, 182.51, 1350, 877, 81, Not Active
1787023687,0, 25143, 100, 28, 245.02, 1357, 877, 82, Active
1787023688,0, 25143, 59, 12, 256.09, 1380, 877, 80, Not Active
1787023690,0, 25143, 100, 30, 200.04, 1372, 877, 81, Not Active
1787023691,0, 25143, 100, 28, 158.21, 1372, 877, 81, Active
1787023692,0, 25143, 100, 27, 205.03, 1357, 877, 82, Active
1787023693,0, 25143, 100, 25, 234.70, 1372, 877, 81, Active
1787023694,0, 25143, 100, 27, 171.95, 1372, 877, 81, Not Active
1787023695,0, 25143, 73, 18, 191.12, 1365, 877, 81, Not Active
1787023696,0, 25143, 100, 31, 266.35, 1342, 877, 82, Active
1787023697,0, 25143, 100, 30, 154.79, 1365, 877, 81, Not Active
1787023698,0, 25143, 100, 26, 219.36, 1357, 877, 82, Active
1787023699,0, 25143, 100, 28, 181.45, 1380, 877, 81, Not Active
1787023700,0, 25143, 100, 30, 259.65, 1372, 877, 82, Active
1787023701,0, 25143, 100, 27, 193.84, 1357, 877, 81, Not Active
1787023702,0, 25143, 100, 29, 157.92, 1372, 877, 81, Not Active
1787023703,0, 25143, 100, 30, 259.08, 1357, 877, 81, Active
